barcode,true_sample_type,predicted_sample_type,model_accuracy,selected_features
TCGA-44-2655-01A-01R-0946-07,Primary Tumor,Primary Tumor,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-75-6212-01A-11R-1755-07,Primary Tumor,Primary Tumor,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-86-8279-01A-11R-2287-07,Primary Tumor,Primary Tumor,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-50-5939-11A-01R-1628-07,Solid Tissue Normal,Solid Tissue Normal,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-49-6744-01A-11R-1858-07,Primary Tumor,Primary Tumor,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-97-7546-01A-11R-2039-07,Primary Tumor,Primary Tumor,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-44-6148-11A-01R-1858-07,Solid Tissue Normal,Solid Tissue Normal,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
TCGA-91-6829-11A-01R-1858-07,Solid Tissue Normal,Solid Tissue Normal,1.0,33653; 33654; 33655; 33656; 33657; 33658; 33659; 33660; 33661; 33664; 33665; 33666; 33667; 33669; 33670; 33671; 33672; 33673; 33674; 33677; 33679; 33680; 33681; 33682; 33683; 33684; 33685; 33686; 33687; 33690; 33691; 33692; 33693; 33694; 33695; 33696; 33697; 33698; 33699; 33703; 33708; 33723; 33727; 33734; 33745; 33868; 34017; 34034; 34126; 34274; 34302; 34305; 34306; 34307; 34308; 34309; 34310; 34311; 34312; 34313; 34315; 34316; 34317; 34318; 34319; 34320; 34322; 34323; 34324; 34326; 34327; 34328; 34330; 34331; 34332; 34335; 34337; 34338; 34340; 34341; 34342; 34344; 34347; 34349; 34352; 34354; 34358; 34362; 34363; 34366; 34367; 34370; 34374; 34379; 34396; 34397; 34414; 34419; 34423; 34424
